cellName	geneSymbol
Endothelial cells (aorta)	Endothelial cells (aorta)	Itga5,Tmtc2,Nr1d1,Pkn3,Tmtc1,She,Itgbl1,Grasp,Enpp4,Tmem184b,Foxc2,Dhh,Dennd5b,Kazald1,Fgd5,Fas,Emilin1,Mical2,Nkx2-3,Stxbp6,Synpo,Atp2a3,Gimap4,Cmklr1,Itga9,Smad6,Efnb2,Arl4d,Fkbp7,Nxn,Pdia5,Aph1b,Wbp1l,Lamb2,Chst12,P3h3,Klk10,Mall,Clec1a,Marveld1,Tns2,Atl2,Ackr3,Col4a4,Col4a3,Per3,Ephx2,Klk8,Bace2,Bmp6,Sulf1,Cpq,Pi16,Amigo2,Ptprj,Trim47,Lmcd1,Pde3a,Smoc1,Cracr2b,Sod3,Pcolce2,Ptgis,Ace,Gxylt2
Endothelial cells (blood brain barrier)	Endothelial cells (blood brain barrier)	Slc19a1,Slc38a3,Tnfrsf21,Foxl2,Foxq1,Ppard,Zic3,Alcam
Enteric glia cells	Enteric glia cells	Gfra3,Mpz,Lgi4,L1cam,Cxcl14,Dkk3,Ints6,Dhrs3,Sox10,Nos2
Enteric neurons	Enteric neurons	Hivep3,Plekha5,Igf2bp3,Arhgap26,Ttbk2,Astn1,Cacna1e,Tub,Filip1,Gcnt2,Vezt,Ret,Ahdc1,Map6,Fbxo7,Ppp2r5b
Erythroid-like and erythroid precursor cells	Erythroid-like and erythroid precursor cells	Hexa,Ccna2,Pklr,Gypa,Thbs1,Fech,Epor,Bpgm,Dcaf12,Hemgn,Hmbs,Ncoa4,Rbm38,Ubb,Tmcc2,Slc4a1,Slc25a39,Slc25a37,Fosb,Htatsf1,Epb41,Rsad2,Cox6b2,Apoa1,Asns,Alad,Ahsg,Ermap,Kcnn4,Pan3,Pfas,Vamp5,Pnpo
Fibroblasts	Fibroblasts	Col1a1,Nox4,Serpinh1,Cd44,Pdgfra,En1,Dcn,Cebpb,Egr1,Fosl2,Hif1a,Klf2,Klf6,Klf9,Nfat5,Nfatc1,Nfkb1,Nr4a1,Pbx1,Runx1,Lamc1,Medag,Lamb1,Mdk,Gstm7,Ngf,P4htm,Ckap4
Follicular cells	Follicular cells	Ttf1,Slc6a4,Tshr,Tg,Iyd,Asgr1,Tpo,Dio1,Slc26a7,Cdh16,Slc16a11,Foxe1
Foveolar cells	Foveolar cells	Anxa10,Sult1c2,Ptgr1,Pgc,Psca,Gkn2,Gkn1,Cldn18,Akr1b8,Il33
GABAergic neurons	GABAergic neurons	Slc6a1,Gabbr2,Gad1,Pax2,Slc32a1,Gad2,Vip,Tnfaip8l3,Sema3c,Mybpc1,Parm1,Dlx1
Gamma (PP) cells	Gamma (PP) cells	Ppy,Cmtm8,Sertm1,Slitrk6,Sema3e,Apobec2,Abcc9,Cartpt,Thsd7a,Aqp3,Ptgfr,Chn2,Egr3,Lmo3,Meis1,Fgb
Gamma delta T cells	Gamma delta T cells	Gzmc,Nkg7,Prf1,Klrd1,Spon2,Ifitm7,Gzma,Cd247,Clic3,Cd7,Adgrg1,Ccl5,Stmn1,Tyms,Mki67,Ube2c,Tuba1b,Aspm,Cenpa,Top2a,Pcna,Aurkb,Birc5,Nusap1,Troap,H2afx,Cenpf,Ccnb1,Tcrg-C4,Trdv5
Gastric chief cells	Gastric chief cells	Bhlha15,Prkcz,Chrm3
Germ cells	Germ cells	Tfap2c,Dazl,Ddx4,Zar1,Tex101,Tnp2,Fabp9,Odf2,Crisp2,Tcp11,Phf7,Creb5,Slfnl1,Cox7b2,Kif2b,Ccdc30,Lrrc57,Bcl2l14,Aqp11,Tex35,Spink2,Tssk3,Creb3l4,Tsacc,Spata46,Tekt1,Morn5,Tsks,H2afb2,Atl3,Dmrtb1,Tmco2,Fhl5,Ms4a5,Cst8,Tmem247,Galntl5,Osbp2,March11,Tex33,Spata20,Cdrt4,Spata18,Lrrc18,Scp2d1,Iqcf1,Pgk2,Tulp2,Ccdc54,Akap4,Gtsf1,Ppp3r2,Tppp2,Gstt4,Lelp1,Spert,Catsperz,Mael,Tmem53,Actrt2,Ropn1,Rnf151,Cabs1,Ccdc91,Spata3,Lrrc46,Pdcl2,H1fnt,Tssk6,Cox8b,Cetn1,Spata19,Tssk2,Znrf4,Spata24,Spata4,Fam71e1,Fam229a,Gapdhs,Hspb9,Spata33,Spz1,Prm3,Hmgb4,Ropn1l,Gsg1,Tnp1,Ldhc,Prm2,Dnaaf1,Acyp1,Sord,Dkkl1,Rsph1,Mlf1,Spa17,Meig1,Fkbp6,Taf7l2,Sycp1,Sohlh1,Slc25a31,Phf13,Egr4,Smc1b,Tex15,Mov10l1,Wdr5,Dmrt1,Stra8,Zmynd19,Mdn1,Rsbn1l,Dynlt1b,Parn,Chek1,Dmc1,Mrpl14,Mlh3,Spag6l,Zpbp2,Dnah6,Camk4,Crem,Myo1d,Hook1
Glomus cells	Glomus cells	Drd2,Nos1,Phox2b,Hmox2,Ndufa4l2,Cox4i2,Il1r1,Tnfrsf1a,Cth,Cbs,Kcnk3,Asic1,Asic3,Cald1,Col4a1,Gfra1,Gfra2,Gap43,Mmp9,Kcnj11,Abcc8,Kcnk9
