cellName	geneSymbol
Enteric neurons	Enteric neurons	HIVEP3,PLEKHA5,IGF2BP3,ARHGAP26,TTBK2,ASTN1,CACNA1E,TUB,FILIP1,GCNT2,VEZT,RET,AHDC1,MAP6,FBXO7,PPP2R5B
Erythroid-like and erythroid precursor cells	Erythroid-like and erythroid precursor cells	HEXA,CCNA2,PKLR,HBB,HBA1,HBA2,HBG1,HBG2,GYPA,THBS1,GYPB,AHSP,HBM,FECH,EPOR,BPGM,DCAF12,HBD,HEMGN,HMBS,NCOA4,RBM38,UBB,TMCC2,SLC4A1,SLC25A39,SLC25A37,FOSB,HTATSF1,EPB41,RSAD2,COX6B2,APOA1,ASNS,ALAD,AHSG,ERMAP,KCNN4,PAN3,PFAS,VAMP5,PNPO
Fibroblasts	Fibroblasts	COL1A1,NOX4,SERPINH1,CD44,PDGFRA,EN1,DCN,CEBPB,EGR1,FOSL2,HIF1A,KLF2,KLF6,KLF9,NFAT5,NFATC1,NFKB1,NR4A1,PBX1,RUNX1,LAMC1,MEDAG,LAMB1,MDK,GSTM5,NGF,P4HTM,CKAP4
Follicular cells	Follicular cells	TTF1,SLC6A4,TSHR,TG,IYD,ASGR1,TPO,DIO1,SLC26A7,CDH16,SLC16A11,FOXE1
Foveolar cells	Foveolar cells	ANXA10,SULT1C2,PTGR1,PGC,PSCA,GKN2,GKN1,CLDN18,AKR1B10,IL33
GABAergic neurons	GABAergic neurons	SLC6A1,GABBR2,GAD1,PAX2,SLC32A1,GAD2,VIP,TNFAIP8L3,SEMA3C,MYBPC1,PARM1,DLX1
Gamma (PP) cells	Gamma (PP) cells	PPY,CMTM8,PPY2P,SERTM1,SLITRK6,SEMA3E,APOBEC2,ABCC9,CARTPT,THSD7A,AQP3,PTGFR,CHN2,EGR3,LMO3,MEIS1,ZNF503,FGB
Gamma delta T cells	Gamma delta T cells	GNLY,GZMB,FGFBP2,NKG7,PRF1,KLRF1,KLRD1,SPON2,IFITM1,GZMA,CD247,CLIC3,CD7,ADGRG1,CCL5,STMN1,TYMS,MKI67,UBE2C,TUBA1B,ASPM,CENPA,TOP2A,PCNA,AURKB,BIRC5,NUSAP1,TROAP,TUBB,H2AFX,CENPF,CCNB1,H2AFZ,TRGV2,TRGV10,TRGV11,TRGV1,TRGV3,TRGV4,TRGV5,TRGV8,TRGV9,TRGJ1,TRGJ2,TRGJP1,TRGJP2,TRGJP,TRGC1,TRGC2,TRDD1,TRDD2,TRDD3,TRDJ1,TRDJ2,TRDJ3,TRDJ4,TRDV1,TRDV2,TRDV3
Gastric chief cells	Gastric chief cells	BHLHA15,PRKCZ,CHIA,CHRM3
Germ cells	Germ cells	TFAP2C,DAZL,MAGEA4,DDX4,ZAR1,TESMIN,TEX101,GCNA,PRM1,TNP2,FABP9,ODF2,CRISP2,TCP11,GGNBP1,PHF7,CREB5,SLFNL1,COX7B2,KIF2B,CCDC30,LRRC57,BCL2L14,AQP11,TEX35,SPINK2,TSSK3,CREB3L4,TSACC,SPATA46,TEKT1,MORN5,TSKS,H2AFB1,ATL3,DMRTB1,TMCO2,FHL5,MS4A5,CST8,TMEM247,GALNTL5,OSBP2,MARCH11,TEX33,SPATA20,CDRT4,SPATA18,LRRC18,SCP2D1,IQCF1,PGK2,TULP2,CCDC54,AKAP4,GTSF1,PPP3R2,TPPP2,LELP1,SPERT,CATSPERZ,MAEL,TMEM53,ACTRT2,ROPN1,RNF151,IQCF3,CABS1,CCDC91,SPATA3,LRRC46,PDCL2,H1FNT,TSSK6,COX8C,CETN1,SPATA19,TSSK2,ZNRF4,SPATA24,SPATA4,FAM71E1,FAM229A,HILS1,HRASLS5,GAPDHS,HSPB9,SPATA33,SPZ1,PRM3,RBAKDN,DNAJB3,HMGB4,ROPN1L,GSG1,TNP1,SMCP,LDHC,PRM2,DNAAF1,ACYP1,SORD,DKKL1,RSPH1,MLF1,SPA17,MEIG1,FKBP6,TAF7L,SYCP1,SOHLH1,SLC25A31,PHF13,EGR4,SMC1B,TEX15,MOV10L1,WDR5,DMRT1,STRA8,ZMYND19,MDN1,RSBN1L,DYNLT1,PARN,CHEK1,DMC1,MRPL14,MLH3,SPAG6,ZPBP2,DNAH6,CAMK4,CREM,MYO1D,HOOK1,SPATA12
Glomus cells	Glomus cells	DRD2,NOS1,PHOX2B,HMOX2,NDUFA4L2,COX4I2,IL1R1,TNFRSF1A,CTH,CBS,KCNK3,ASIC1,ASIC3,CALD1,COL4A1,GFRA1,GFRA2,GAP43,MMP9,KCNJ11,ABCC8,KCNK9
Glutaminergic neurons	Glutaminergic neurons	SLC17A7,GRIN1,MEIS2,SLC17A8,SLC1A1
Glycinergic neurons	Glycinergic neurons	SLC6A9
Goblet cells	Goblet cells	NLRP6,MUC2,SLC9A8,OTOGL,ITLN1,CDON,TMEM207,CDX2,GUCA2A,PHGR1,MUC13,FCGBP,CLCA1,TPSG1,GALNT12,ATOH1,REP15,PLA2G10,LRRC26,MANF,SPINK4
Granulosa cells	Granulosa cells	AMH,BOK,FHL1,INHA,HSD3B1,GAPDH,HSD17B1,HJURP,FSHR,CYP19A1
Hemangioblasts	Hemangioblasts	T,TAL1
Hematopoietic stem cells	Hematopoietic stem cells	MPL,SLAMF1,ABCB1,BAALC,CDCP1,MYADM,TGFB2,PTPRE,TAF7,GATA2,GPR171,NFE2,LYL1,ELF1,HLF,RGS18,MYCT1,MYCN,ARID3A,ITGA2B,TXNIP,PTPRS,GFI1,CD48,HMGB3,APC,GNL3,MGST1,PRNP,CD33,IL3RA,HLX,NKX3-1,NCOR2,MECOM,CTNNAL1,PBX2,NEO1,MAFF,CDH2,GFI1B,NOTCH2,PLXDC2,ESAM,TRPC6,TET2
Hepatic stellate cells	Hepatic stellate cells	ADAMTS13,CYGB,PPARA,NR1H4,AGTR1,PNPLA3,NGFR,MYB,SYP,VCL,TAGLN,COL1A2,COL3A1,RBP1,MYL9,TPM2,BGN,IGFBP3,CYR61,OLFML3,IGFBP6,COLEC11,HGF
Hepatoblasts	Hepatoblasts	AFP,KRT14,HNF4A,MAP2K4,KRT18,KRT8,MET
Hepatocytes	Hepatocytes	FOSL1,EPPK1,GCK,LRP5,SLC10A1,ATP7B,GJB2,FGFR4,CRP,GRP,TFR2,KIF13B,LIPC,G6PC,OTC,UGT1A1,ZHX2,FOXA3,FOXA1,CYP7A1,CYP3A7,CYP3A4,CYP2D6,CYP2C9,CYP2C8,CYP2C19,CYP2B6,CYP2A6,CYP1A2,GPC3,CYP1A1,NR1I3,CPS1,GLS2,TAT,PRRG4,APOH,ABCC3,PLSCR1,FGA,APOB,ANG,ANXA13,SAT2,SFRP5,A1CF,FGL1,PAH,SERPINA6,APOA2,FGG,APOC3,ORM1,HAL,CYP2A7,SCD,HMGCS1,ACSS2,TM7SF2,SEC16B,SLBP,RND3,GHR,ALDH6A1,MASP2,AKR1C1,HPR,GLUL,ASL,TMEM97,CP,ACAT2,TM4SF5,MSMO1,RCAN1,RPP25L,APOM,TKFC,PON3,C1ORF53,TTC36,GOLT1A,MCC,AQP9,NNT,SAA4,MRPS18C,OCIAD1,APOA5,ENTPD5,C4B,EID2,TP53INP2,ATIC,SAMD5,GRB14,ABCD3,RHOB,EPB41L4B,GPAT4,SPTBN1,SDC2,PHLDA1,WTAP,ACADM
Immature neurons	Immature neurons	PCLO,CUX2,SLC12A5,STIM2,CUL5,HIVEP2,NTRK3,RND2,FEZF2,SOX5,ROBO1,EPHA7,EPHA3,YY2,NOTCH3,LHX6,NES,RBFOX3,CREB1,ASCL1,SYN1,NF1,BCL2,SLC6A5,FOXD2,ICAM5,NEUROG2
