"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"ACAP1"	9.60898347396132e-07	0.621272111574363	0.387	0.273	0.0120784922267694	"0"	"ACAP1"
"LYRM5"	1.36620679656786e-06	1.27871675904255	0.13	0.06	0.017173219432858	"0"	"LYRM5"
"LRRN3"	1.48992528184921e-06	2.44213129798171	0.041	0.007	0.0187283607928445	"0"	"LRRN3"
"MDS2"	1.82507433934261e-06	1.66499526533998	0.05	0.012	0.0229411844455366	"0"	"MDS2"
"CCDC109B"	2.03305297337222e-06	0.715929534143077	0.402	0.293	0.0255554758752888	"0"	"CCDC109B"
"AK5"	2.4786121661581e-06	1.96163806381659	0.054	0.014	0.0311561549286073	"0"	"AK5"
"RP11-18H21.1"	2.83341002976402e-06	1.44754189381508	0.084	0.031	0.0356159640741337	"0"	"RP11-18H21.1"
"SVIP"	3.69161747827641e-06	0.821156840266758	0.197	0.113	0.0464036317019345	"0"	"SVIP"
"TARBP1"	3.91505928365927e-06	1.49788527950472	0.074	0.029	0.049212295195597	"0"	"TARBP1"
"TXK"	5.19325547273437e-06	1.05015473640735	0.13	0.064	0.0652792212922711	"0"	"TXK"
"RP11-143J12.2"	5.72299320945291e-06	1.56545959178906	0.071	0.025	0.0719380246428231	"0"	"RP11-143J12.2"
"RP11-51J9.5"	7.52679608401872e-06	0.934478922150007	0.173	0.099	0.0946118267761153	"0"	"RP11-51J9.5"
"RPL39"	8.55150019297449e-06	0.610894241333903	0.333	0.248	0.107492357425689	"0"	"RPL39"
"AC013264.2"	9.70088016118352e-06	1.37949057870249	0.078	0.036	0.121940063626077	"0"	"AC013264.2"
"MFNG"	9.80241057962901e-06	0.742180154740226	0.227	0.148	0.123216300985937	"0"	"MFNG"
"RP11-799D4.4"	1.07654769218531e-05	2.42106968245389	0.035	0.006	0.135322044907693	"0"	"RP11-799D4.4"
"CAPN12"	1.09818256597432e-05	0.69237170427128	0.011	0.037	0.138041548542973	"0"	"CAPN12"
"RIC3"	1.1632000436065e-05	0.648138590999806	0.153	0.082	0.146214245481337	"0"	"RIC3"
"RP11-796E2.4"	1.19186590648081e-05	0.843760754276164	0.188	0.11	0.149817544444638	"0"	"RP11-796E2.4"
"FBLN5"	1.20625224225829e-05	1.35652943025917	0.084	0.035	0.151625906851868	"0"	"FBLN5"
"NDNL2"	1.30015442128763e-05	1.0020523322625	0.223	0.145	0.163429410755855	"0"	"NDNL2"
"NAP1L4"	1.32556690280193e-05	0.735384593231372	0.19	0.113	0.166623759682203	"0"	"NAP1L4"
"PDK1"	1.39142939677331e-05	1.78363976183859	0.054	0.016	0.174902675174405	"0"	"PDK1"
"IMPDH2"	1.91888165831921e-05	0.663926206350049	0.222	0.14	0.241203424450724	"0"	"IMPDH2"
"STK17A"	2.12436789779535e-05	0.514179086845367	0.385	0.283	0.267033044752875	"0"	"STK17A"
"FAM102A"	2.14579517055314e-05	1.06336535824099	0.121	0.062	0.26972645293853	"0"	"FAM102A"
"ANXA2R"	2.30523341195296e-05	0.553342142416799	0.242	0.155	0.289767839882487	"0"	"ANXA2R"
"CD5"	2.43863407593524e-05	0.926960612183843	0.121	0.06	0.306536303345059	"0"	"CD5"
"FAM134B"	2.57897011391679e-05	1.35693934503417	0.073	0.031	0.324176543319341	"0"	"FAM134B"
"COL18A1"	2.6254155915826e-05	2.00603218317504	0.043	0.011	0.330014739861933	"0"	"COL18A1"
"UBASH3A"	3.20772657517232e-05	1.28843191387577	0.078	0.032	0.403211230499161	"0"	"UBASH3A"
"QSOX1"	3.33945176843123e-05	0.601641928095706	0.017	0.04	0.419769087291806	"0"	"QSOX1"
"RNF138"	3.92929453489802e-05	0.918569341924702	0.127	0.066	0.493912323036681	"0"	"RNF138"
"EPHB6"	3.94901619585622e-05	1.84849090618856	0.047	0.013	0.496391335819127	"0"	"EPHB6"
"LINS"	4.07258186807758e-05	1.26382994064269	0.089	0.041	0.511923540817352	"0"	"LINS"
"WNT7A"	4.9252482691474e-05	2.36860226255975	0.032	0.006	0.619103707431828	"0"	"WNT7A"
"VSIG1"	5.67149770722342e-05	2.25395969661863	0.034	0.007	0.712907261797984	"0"	"VSIG1"
"RGL4"	5.73170169456585e-05	0.803789461460001	0.166	0.096	0.720474903006928	"0"	"RGL4"
"PDE7A"	5.84618868769125e-05	1.21347426304552	0.091	0.043	0.73486591804279	"0"	"PDE7A"
"NECAP2"	6.48087674538529e-05	0.53441115552983	0.242	0.159	0.814646206894932	"0"	"NECAP2"
"GPR155"	6.48645444657932e-05	1.23869293996532	0.08	0.034	0.815347323935021	"0"	"GPR155"
"ITK"	6.92226846652346e-05	0.838304737436975	0.125	0.067	0.870129146241999	"0"	"ITK"
"NAE1"	8.26818484669303e-05	0.879768410528869	0.14	0.077	1	"0"	"NAE1"
"LYRM9"	9.52934924743729e-05	1.20766604434469	0.082	0.036	1	"0"	"LYRM9"
"BNIP3"	9.56067367519802e-05	1.35068035456249	0.067	0.028	1	"0"	"BNIP3"
"NIPAL3"	0.000106387769486102	1.08403469517632	0.097	0.049	1	"0"	"NIPAL3"
"ADPRM"	0.000152252399026939	0.88573794945733	0.078	0.034	1	"0"	"ADPRM"
"PPIG"	0.000155725711886098	0.976737876381004	0.179	0.161	1	"0"	"PPIG"
"TPR"	0.000157854358292775	0.664204530849974	0.214	0.14	1	"0"	"TPR"
"ATP6V0E2"	0.000164025885911924	1.34795175324987	0.127	0.074	1	"0"	"ATP6V0E2"
"BEX4"	0.000164075616405782	1.18060568819542	0.16	0.098	1	"0"	"BEX4"
"XXbac-BPG299F13.17"	0.000166392956370446	1.0832000436975	0.169	0.115	1	"0"	"XXbac-BPG299F13.17"
"SMDT1"	0.000197857444908846	0.67409029965966	0.425	0.352	1	"0"	"SMDT1"
"PHF1"	0.000206290473556541	0.714005574001541	0.136	0.079	1	"0"	"PHF1"
"BEX5"	0.000217133078669576	1.56545959178906	0.047	0.017	1	"0"	"BEX5"
"ID3"	0.000221345124926065	0.985568080615326	0.104	0.053	1	"0"	"ID3"
"CISH"	0.00022774131385044	0.58114689793985	0.117	0.065	1	"0"	"CISH"
"STMN3"	0.000248155188619184	0.751790895799254	0.155	0.092	1	"0"	"STMN3"
"HSBP1L1"	0.000281667084323588	1.38042769795654	0.06	0.023	1	"0"	"HSBP1L1"
"AKTIP"	0.000306403239943052	0.554043547723306	0.097	0.051	1	"0"	"AKTIP"
"SOCS1"	0.000322076546056516	0.992485651337093	0.091	0.045	1	"0"	"SOCS1"
"UXS1"	0.000331314871903033	1.04761128692644	0.119	0.067	1	"0"	"UXS1"
"FRA10AC1"	0.000393017867541416	1.03156727528218	0.095	0.048	1	"0"	"FRA10AC1"
"GPR183"	0.000398979371963201	0.578170643538614	0.164	0.107	1	"0"	"GPR183"
"FBLN7"	0.000419122820247291	1.86852865942511	0.035	0.01	1	"0"	"FBLN7"
"MLLT3"	0.000427687776639686	1.3225058479703	0.058	0.024	1	"0"	"MLLT3"
"SUPT3H"	0.000439429977427439	1.02053175287016	0.086	0.042	1	"0"	"SUPT3H"
"ST3GAL2"	0.000448215785250905	1.83610718173273	0.056	0.025	1	"0"	"ST3GAL2"
"PIM2"	0.000459619900066066	0.635049863974133	0.194	0.137	1	"0"	"PIM2"
"MAGOHB"	0.000460652166003088	1.06152729576674	0.084	0.045	1	"0"	"MAGOHB"
"SCML1"	0.000465126145901287	1.63679837350932	0.043	0.014	1	"0"	"SCML1"
"TESPA1"	0.000471722685706143	0.918569341924702	0.108	0.058	1	"0"	"TESPA1"
"ICOS"	0.000477785448465774	1.52540634226862	0.06	0.027	1	"0"	"ICOS"
"GCC2"	0.000512484778924718	0.647731698622717	0.162	0.101	1	"0"	"GCC2"
"ETS1"	0.000525172048411698	1.06413513773861	0.145	0.09	1	"0"	"ETS1"
"PRPF6"	0.000540547491580816	0.929534045700998	0.134	0.094	1	"0"	"PRPF6"
"RP11-660L16.2"	0.000545202810457708	0.950749747673852	0.104	0.057	1	"0"	"RP11-660L16.2"
"IL27RA"	0.000554626233852996	0.999605914015609	0.132	0.097	1	"0"	"IL27RA"
"LINC00954"	0.000574345652967833	1.57718888437117	0.045	0.015	1	"0"	"LINC00954"
"SLC40A1"	0.000621482310903903	1.22284357224819	0.067	0.03	1	"0"	"SLC40A1"
"ABHD17B"	0.000629867873890792	1.46546380181234	0.009	0.022	1	"0"	"ABHD17B"
"LGALS3BP"	0.000679051309171462	0.926960612183843	0.101	0.053	1	"0"	"LGALS3BP"
"C10orf35"	0.000683012167586947	1.92802967117377	0.032	0.008	1	"0"	"C10orf35"
"FAIM3"	0.000683475408563047	0.563513947474091	0.263	0.187	1	"0"	"FAIM3"
"THOC3"	0.000687012345838772	1.02464786134239	0.071	0.034	1	"0"	"THOC3"
"TC2N"	0.000691350215754318	0.882883952402176	0.145	0.093	1	"0"	"TC2N"
"ATM"	0.000709214468318168	0.598284719826675	0.194	0.128	1	"0"	"ATM"
"SLC8B1"	0.000863453336963253	1.3279602780624	0.052	0.022	1	"0"	"SLC8B1"
"SESN3"	0.000863453336963498	1.3279602780624	0.052	0.022	1	"0"	"SESN3"
"CTC-523E23.11"	0.000876550089605446	0.950537070583337	0.089	0.046	1	"0"	"CTC-523E23.11"
"DNAJA3"	0.000940037139705426	0.643462103790334	0.074	0.038	1	"0"	"DNAJA3"
"LYPD3"	0.000942792217930757	1.74299777734125	0.035	0.011	1	"0"	"LYPD3"
"UBIAD1"	0.000947778412985409	0.698603657982794	0.071	0.033	1	"0"	"UBIAD1"
"SCML4"	0.00107809276390037	0.82670848373048	0.112	0.063	1	"0"	"SCML4"
"ZNF274"	0.00109873934658199	0.921967918386566	0.089	0.047	1	"0"	"ZNF274"
"ASB16-AS1"	0.00109962592005263	1.29553880037003	0.056	0.023	1	"0"	"ASB16-AS1"
"GSTM3"	0.00112163561925102	1.3279602780624	0.052	0.021	1	"0"	"GSTM3"
"LINC00402"	0.00112885779052097	1.1731421690103	0.054	0.026	1	"0"	"LINC00402"
"CRYZL1"	0.00115437083515337	0.828727651367132	0.112	0.066	1	"0"	"CRYZL1"
"SNHG8"	0.00120288432728328	0.703317702229512	0.3	0.23	1	"0"	"SNHG8"
"AIMP1"	0.00120303645662276	0.730754181586501	0.143	0.089	1	"0"	"AIMP1"
"LYRM4"	0.00121436719222118	0.632988772560825	0.158	0.113	1	"0"	"LYRM4"
"ABHD5"	0.00122347783266133	1.49145901034528	0.013	0.026	1	"0"	"ABHD5"
"TOM1L2"	0.00122551619240883	1.33465493063641	0.045	0.019	1	"0"	"TOM1L2"
"EBPL"	0.00124265099525446	0.700045632156701	0.143	0.094	1	"0"	"EBPL"
"ZNF506"	0.00131421145284946	1.42106968245388	0.047	0.018	1	"0"	"ZNF506"
"RABEP2"	0.00145620734883347	1.17109142944554	0.015	0.03	1	"0"	"RABEP2"
"CITED4"	0.00161118946989746	0.900679183028813	0.058	0.025	1	"0"	"CITED4"
"SORL1"	0.00169259689003589	0.65958176915361	0.166	0.11	1	"0"	"SORL1"
"ENOSF1"	0.0017189253352821	1.32153400890297	0.05	0.02	1	"0"	"ENOSF1"
"TTC39C"	0.00179294124848516	0.632353713657255	0.175	0.118	1	"0"	"TTC39C"
"GRAP"	0.00195397138503535	0.712300980118331	0.056	0.025	1	"0"	"GRAP"
"LETMD1"	0.00204774863973189	0.738259858334584	0.128	0.078	1	"0"	"LETMD1"
"API5"	0.00205701994124705	0.783639761838593	0.086	0.046	1	"0"	"API5"
"ZNF331"	0.00208616714625444	0.598856801669168	0.179	0.12	1	"0"	"ZNF331"
"NMRK1"	0.00209190459309357	0.711197749169954	0.14	0.089	1	"0"	"NMRK1"
